Position,Sample Name,Gene Name,Cq,Concentration,Call,Sample Type,Standard,Cq Mean,Cq Error,Concentration Mean,Concentration Error,Replicate Group,Dye,Slope,EPF,Failure,Notes,Prep Notes,Number
A1,cDNA,noAmp_Cy5,,,Negative,Unknown,,,,,,A1,Cy5,0.0,0.05,None,,,1.0
A1,cDNA,Fam,24.56,,Positive,Unknown,,24.60,0.06,,,A1,FAM,0.67,8.14,None,,,2.0
A1,cDNA,Red610,23.80,,Positive,Unknown,,23.82,0.02,,,A1,Red610,0.74,11.65,None,,,3.0
A1,cDNA,Vic,20.32,,Positive,Unknown,,20.36,0.06,,,A1,VIC,0.36,2.7,None,,,4.0
A2,cDNA,noAmp_Cy5,,,Negative,Unknown,,,,,,A1,Cy5,0.0,0.02,None,,,5.0
A2,cDNA,Fam,24.64,,Positive,Unknown,,24.60,0.06,,,A1,FAM,0.65,7.87,None,,,6.0
A2,cDNA,Red610,23.83,,Positive,Unknown,,23.82,0.02,,,A1,Red610,0.66,10.52,None,,,7.0
A2,cDNA,Vic,20.40,,Positive,Unknown,,20.36,0.06,,,A1,VIC,0.35,2.6,None,,,8.0
A3,cDNA,noAmp_Cy5,,,Negative,Unknown,,,,,,A3,Cy5,0.0,0.09,None,,,9.0
A3,cDNA,Fam,24.52,,Positive,Unknown,,24.52,0.00,,,A3,FAM,0.65,7.82,None,,,10.0
A3,cDNA,TexasRed,25.33,,Positive,Unknown,,25.35,0.02,,,A3,Red610,0.29,4.68,None,,,11.0
A3,cDNA,Vic,20.27,,Positive,Unknown,,20.26,0.01,,,A3,VIC,0.36,2.64,None,,,12.0
A4,cDNA,noAmp_Cy5,,,Negative,Unknown,,,,,,A3,Cy5,0.0,0.09,None,,,13.0
A4,cDNA,Fam,24.52,,Positive,Unknown,,24.52,0.00,,,A3,FAM,0.61,7.39,None,,,14.0
A4,cDNA,TexasRed,25.36,,Positive,Unknown,,25.35,0.02,,,A3,Red610,0.26,4.33,None,,,15.0
A4,cDNA,Vic,20.25,,Positive,Unknown,,20.26,0.01,,,A3,VIC,0.36,2.59,None,,,16.0
A5,cDNA,Cy5,19.37,,Positive,Unknown,,19.35,0.04,,,A5,Cy5,0.3,2.62,None,,,17.0
A5,cDNA,Fam,24.53,,Positive,Unknown,,24.53,0.00,,,A5,FAM,0.6,7.59,None,,,18.0
A5,cDNA,noAmp_Red610,,,Negative,Unknown,,,,,,A5,Red610,0.01,0.09,None,,,19.0
A5,cDNA,Vic,20.10,,Positive,Unknown,,20.11,0.01,,,A5,VIC,0.36,2.75,None,,,20.0
A6,cDNA,Cy5,19.32,,Positive,Unknown,,19.35,0.04,,,A5,Cy5,0.31,2.68,None,,,21.0
A6,cDNA,Fam,24.53,,Positive,Unknown,,24.53,0.00,,,A5,FAM,0.6,7.58,None,,,22.0
A6,cDNA,noAmp_Red610,,,Negative,Unknown,,,,,,A5,Red610,0.01,0.1,None,,,23.0
A6,cDNA,Vic,20.12,,Positive,Unknown,,20.11,0.01,,,A5,VIC,0.36,2.75,None,,,24.0
A7,cDNA,Cy5,19.41,,Positive,Unknown,,19.47,0.08,,,A7,Cy5,0.31,2.34,None,,,25.0
A7,cDNA,Fam,24.43,,Positive,Unknown,,24.51,0.11,,,A7,FAM,0.61,7.58,None,,,26.0
A7,cDNA,noAmp_TexasRed,,,Negative,Unknown,,,,,,A7,Red610,0.0,0.05,None,,,27.0
A7,cDNA,Vic,20.31,,Positive,Unknown,,20.28,0.05,,,A7,VIC,0.35,2.57,None,,,28.0
A8,cDNA,Cy5,19.53,,Positive,Unknown,,19.47,0.08,,,A7,Cy5,0.27,2.37,None,,,29.0
A8,cDNA,Fam,24.59,,Positive,Unknown,,24.51,0.11,,,A7,FAM,0.55,6.87,None,,,30.0
A8,cDNA,noAmp_TexasRed,,,Negative,Unknown,,,,,,A7,Red610,0.0,0.04,None,,,31.0
A8,cDNA,Vic,20.24,,Positive,Unknown,,20.28,0.05,,,A7,VIC,0.34,2.53,None,,,32.0
