Position,Sample Name,Gene Name,Cq,Concentration,Call,Sample Type,Standard,Cq Mean,Cq Error,Concentration Mean,Concentration Error,Replicate Group,Dye,Slope,EPF,Failure,Notes,Prep Notes,Number
A2,S 1,Target,27.05,,Positive,Unknown,,26.99,0.09,,,A2,FAM,0.22,2.0,None,,,1.0
A2,S 1,IC,26.65,,Positive,Unknown,,26.43,0.31,,,A2,Yellow555,0.2,2.23,None,,,2.0
A3,S 1,Target,26.92,,Positive,Unknown,,26.99,0.09,,,A2,FAM,0.21,2.04,None,,,3.0
A3,S 1,IC,26.21,,Positive,Unknown,,26.43,0.31,,,A2,Yellow555,0.19,2.31,None,,,4.0
A4,Pos Control,Target,26.95,,Positive,Positive control,,26.95,0.00,,,,FAM,0.21,1.96,None,,,5.0
A4,Pos Control,IC,26.54,,Positive,Positive control,,26.54,0.00,,,,Yellow555,0.19,2.13,None,,,6.0
A5,NTC,Target,,,Negative,Negative control,,,,,,,FAM,0.0,0.08,None,,,7.0
A5,NTC,IC,,,Negative,Negative control,,,,,,,Yellow555,0.0,0.06,None,,,8.0
B2,S 2,Target,27.09,,Positive,Unknown,,27.14,0.06,,,B2,FAM,0.24,2.2,None,,,9.0
B2,S 2,IC,,,Negative,Unknown,,,,,,B2,Yellow555,0.0,0.02,None,,,10.0
B3,S 2,Target,27.18,,Positive,Unknown,,27.14,0.06,,,B2,FAM,0.23,2.14,None,,,11.0
B3,S 2,IC,,,Negative,Unknown,,,,,,B2,Yellow555,0.0,0.03,None,,,12.0
C2,S 3,Target,27.22,,Positive,Unknown,,27.22,0.00,,,C2,FAM,0.21,1.9,Replicate groupcontains positivesand negatives.,,,13.0
C2,S 3,IC,26.70,,Positive,Unknown,,26.64,0.09,,,C2,Yellow555,0.18,2.05,None,,,14.0
C3,S 3,Target,,,Negative,Unknown,,,,,,C2,FAM,0.0,0.06,Replicate groupcontains positivesand negatives.,,,15.0
C3,S 3,IC,26.57,,Positive,Unknown,,26.64,0.09,,,C2,Yellow555,0.21,1.89,None,,,16.0
D2,S 4,Target,27.34,,Positive,Unknown,,27.47,0.18,,,D2,FAM,0.22,1.96,None,,,17.0
D2,S 4,IC,26.67,,Positive,Unknown,,26.67,0.00,,,D2,Yellow555,0.2,2.2,Replicate groupcontains positivesand negatives.,,,18.0
D3,S 4,Target,27.60,,Positive,Unknown,,27.47,0.18,,,D2,FAM,0.24,2.04,None,,,19.0
D3,S 4,IC,,,Negative,Unknown,,,,,,D2,Yellow555,0.0,0.03,Replicate groupcontains positivesand negatives.,,,20.0
E2,S 5,Target,27.21,,Positive,Unknown,,27.21,0.00,,,E2,FAM,0.24,2.04,Replicate groupcontains positivesand negatives.,,,21.0
E2,S 5,IC,,,Negative,Unknown,,,,,,E2,Yellow555,0.0,0.05,None,,,22.0
E3,S 5,Target,,,Negative,Unknown,,,,,,E2,FAM,0.0,0.05,Replicate groupcontains positivesand negatives.,,,23.0
E3,S 5,IC,,,Negative,Unknown,,,,,,E2,Yellow555,0.0,0.04,None,,,24.0
F2,S 6,Target,,,Negative,Unknown,,,,,,F2,FAM,0.0,0.04,None,,,25.0
F2,S 6,IC,26.90,,Positive,Unknown,,26.76,0.20,,,F2,Yellow555,0.18,1.72,None,,,26.0
F3,S 6,Target,,,Negative,Unknown,,,,,,F2,FAM,0.0,0.04,None,,,27.0
F3,S 6,IC,26.62,,Positive,Unknown,,26.76,0.20,,,F2,Yellow555,0.18,1.79,None,,,28.0
G2,S 7,Target,,,Negative,Unknown,,,,,,G2,FAM,0.0,0.05,None,,,29.0
G2,S 7,IC,,,Negative,Unknown,,,,,,G2,Yellow555,0.0,0.05,None,,,30.0
G3,S 7,Target,,,Negative,Unknown,,,,,,G2,FAM,0.0,0.05,None,,,31.0
G3,S 7,IC,,,Negative,Unknown,,,,,,G2,Yellow555,0.0,0.06,None,,,32.0
H2,S 8,Target,,,Negative,Unknown,,,,,,H2,FAM,0.0,0.06,None,,,33.0
H2,S 8,IC,26.99,,Positive,Unknown,,26.99,0.00,,,H2,Yellow555,0.22,2.33,Replicate groupcontains positivesand negatives.,,,34.0
H3,S 8,Target,,,Negative,Unknown,,,,,,H2,FAM,0.0,0.05,None,,,35.0
H3,S 8,IC,,,Negative,Unknown,,,,,,H2,Yellow555,0.0,0.04,Replicate groupcontains positivesand negatives.,,,36.0
